zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang	ŋióqrim
1	幫	幫母	PAŊ	PAŊ‐mú	p‐
2	滂	滂母	PHAŊ	PHAŊ‐mú	ph‐
3	並	並母	BRÁŊ	BRÁŊ‐mú	b‐
4	明	明母	MRIEŊ	MRIEŊ‐mú	m‐
5	端	端母	TUAN	TUAN‐mú	t‐
6	透	透母	THÛ	THÛ‐mú	th‐
7	定	定母	DÊŊ	DÊŊ‐mú	d‐
8	泥	泥母	NEI	NEI‐mú	n‐
9	來	來母	LƏI	LƏI‐mú	l‐
10	知	知母	TRIE	TRIE‐mú	tr‐
11	徹	徹母	THRIET	THRIET‐mú	thr‐
12	澄	澄母	DRIƏŊ	DRIƏŊ‐mú	dr‐
13	娘	娘母	NRIAŊ	NRIAŊ‐mú	nr‐
14	精	精母	CIEŊ	CIEŊ‐mú	c‐
15	清	清母	CHIEŊ	CHIEŊ‐mú	ch‐
16	從	從母	DZYOŊ	DZYOŊ‐mú	dz‐
17	心	心母	SIM	SIM‐mú	s‐
18	邪	邪母	ZIA	ZIA‐mú	z‐
19	莊	莊母	CRIAŊ	CRIAŊ‐mú	cr‐
20	初	初母	CHRIO	CHRIO‐mú	chr‐
21	崇	崇母	DZRYUŊ	DZRYUŊ‐mú	dzr‐
22	生	生母	SRIEŊ	SRIEŊ‐mú	sr‐
23	俟	俟母	ZRIƏ́	ZRIƏ́‐mú	zr‐
24	章	章母	TIAŊ	TIAŊ‐mú	tь‐
25	昌	昌母	THIAŊ	THIAŊ‐mú	thь‐
26	禪	禪母	DIEN	DIEN‐mú	dь‐
27	日	日母	NIT	NIT‐mú	nь‐
28	書	書母	SHIO	SHIO‐mú	shь‐
29	船	船母	ZHYEN	ZHYEN‐mú	zhь‐
30	以	以母	JIƏ́	JIƏ́‐mú	jь‐
31	見	見母	KÊN	KÊN‐mú	k‐
32	溪	溪母	KHEI	KHEI‐mú	kh‐
33	群	群母	GYUN	GYUN‐mú	g‐
34	疑	疑母	ŊIƏ	ŊIƏ‐mú	ŋ‐
35	影	影母	QRIÉŊ	QRIÉŊ‐mú	q‐
36	曉	曉母	QHÉU	QHÉU‐mú	qh‐
37	匣	匣母	XRAP	XRAP‐mú	x‐
38	云	云母	XYUN	XYUN‐mú	xь‐
