zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
1	通	通攝内一	THUŊ	THUŊ‐shiep Nûi‐I
2	江	江攝外一	KROŊ	KROŊ‐shiep Ŋuâi‐I
3	止	止攝内二	TIƏ́	TIƏ́‐shiep Nûi‐II
4	遇	遇攝内三	ŊYÔ	ŊYÔ‐shiep Nûi‐III
5	蟹	蟹攝外二	XRÉ	XRÉ‐hiep Ŋuâi‐II
6	臻	臻攝外三	CRIN	CRIN‐shiep Ŋuâi‐III
7	山	山攝外四	SREN	SREN‐shiep Ŋuâi‐IV
8	效	效攝外五	XRÂU	XRÂU‐shiep Ŋuâi‐V
9	果	果攝内四	KUÁ	KUÁ‐shiep Nûi‐IV
10	假	假攝外六	KRÁ	KRÁ‐shiep Ŋuâi‐VI
11	宕	宕攝内五	DÂŊ	DÂŊ‐shiep Nûi‐V
12	梗	梗攝外七	KRÁŊ	KRÁŊ‐shiep Ŋuâi‐VII
13	曾	曾攝内六	CƏŊ	CƏŊ‐shiep Nûi‐VI
14	流	流攝内七	LYU	LYU‐shiep Nûi‐VII
15	深	深攝内八	SHIM	SHIM‐shiep Nûi‐VIII
16	咸	咸攝外八	XREM	XREM‐shiep Ŋuâi‐VIII
