zio	xryn_tuan	xryn_driang
1	東	上平聲一東
2	冬	上平聲二冬
3	江	上平聲三江
4	支	上平聲四支
5	微	上平聲五微
6	魚	上平聲六魚
7	虞	上平聲七虞
8	齊	上平聲八齊
9	佳	上平聲九佳
10	灰	上平聲十灰
11	真	上平聲十一真
12	文	上平聲十二文
13	元	上平聲十三元
14	寒	上平聲十四寒
15	删	上平聲十五删
16	先	下平聲一先
17	蕭	下平聲二蕭
18	肴	下平聲三肴
19	豪	下平聲四豪
20	歌	下平聲五歌
21	麻	下平聲六麻
22	陽	下平聲七陽
23	庚	下平聲八庚
24	青	下平聲九青
25	蒸	下平聲十蒸
26	尤	下平聲十一尤
27	侵	下平聲十二侵
28	覃	下平聲十三覃
29	鹽	下平聲十四鹽
30	咸	下平聲十五咸
31	董	上聲一董
32	腫	上聲二腫
33	講	上聲三講
34	紙	上聲四紙
35	尾	上聲五尾
36	語	上聲六語
37	麌	上聲七麌
38	薺	上聲八薺
39	蟹	上聲九蟹
40	賄	上聲十賄
41	軫	上聲十一軫
42	吻	上聲十二吻
43	阮	上聲十三阮
44	旱	上聲十四旱
45	潸	上聲十五潸
46	銑	上聲十六銑
47	篠	上聲十七篠
48	巧	上聲十八巧
49	皓	上聲十九皓
50	哿	上聲二十哿
51	馬	上聲二十一馬
52	養	上聲二十二養
53	梗	上聲二十三梗
54	迥	上聲二十四迥
55	有	上聲二十五有
56	寢	上聲二十六寢
57	感	上聲二十七感
58	琰	上聲二十八琰
59	豏	上聲二十九豏
60	送	去聲一送
61	宋	去聲二宋
62	絳	去聲三絳
63	寘	去聲四寘
64	未	去聲五未
65	御	去聲六御
66	遇	去聲七遇
67	霽	去聲八霽
68	泰	去聲九泰
69	卦	去聲十卦
70	隊	去聲十一隊
71	震	去聲十二震
72	問	去聲十三問
73	願	去聲十四願
74	翰	去聲十五翰
75	諫	去聲十六諫
76	霰	去聲十七霰
77	嘯	去聲十八嘯
78	效	去聲十九效
79	號	去聲二十號
80	個	去聲二十一個
81	禡	去聲二十二禡
82	漾	去聲二十三漾
83	敬	去聲二十四敬
84	徑	去聲二十五徑
85	宥	去聲二十六宥
86	沁	去聲二十七沁
87	勘	去聲二十八勘
88	艷	去聲二十九艷
89	陷	去聲三十陷
90	屋	入聲一屋
91	沃	入聲二沃
92	覺	入聲三覺
93	質	入聲四質
94	物	入聲五物
95	月	入聲六月
96	曷	入聲七曷
97	黠	入聲八黠
98	屑	入聲九屑
99	藥	入聲十藥
100	陌	入聲十一陌
101	錫	入聲十二錫
102	職	入聲十三職
103	緝	入聲十四緝
104	合	入聲十五合
105	葉	入聲十六葉
106	洽	入聲十七洽
