zio	xruek	qhandziw_tuan	qhandziw_driang
1	1	一	一部
2	1	丨	丨部
3	1	丶	丶部
4	1	丿	丿部
5	1	乙	乙部
6	1	亅	亅部
7	2	二	二部
8	2	亠	亠部
9	2	人	人部
10	2	儿	儿部
11	2	入	入部
12	2	八	八部
13	2	冂	冂部
14	2	冖	冖部
15	2	冫	冫部
16	2	几	几部
17	2	凵	凵部
18	2	刀	刀部
19	2	力	力部
20	2	勹	勹部
21	2	匕	匕部
22	2	匚	匚部
24	2	十	十部
25	2	卜	卜部
26	2	卩	卩部
27	2	厂	厂部
28	2	厶	厶部
29	2	又	又部
30	3	口	口部
31	3	囗	囗部
32	3	土	土部
33	3	士	士部
34	3	夂	夂部
36	3	夕	夕部
37	3	大	大部
38	3	女	女部
39	3	子	子部
40	3	宀	宀部
41	3	寸	寸部
42	3	小	小部
43	3	尢	尢部
44	3	尸	尸部
45	3	屮	屮部
46	3	山	山部
47	3	巛	巛部
48	3	工	工部
49	3	己	己部
50	3	巾	巾部
51	3	干	干部
52	3	幺	幺部
53	3	广	广部
54	3	廴	廴部
55	3	廾	廾部
56	3	弋	弋部
57	3	弓	弓部
58	3	彐	彐部
59	3	彡	彡部
60	3	彳	彳部
61	4	心	心部
62	4	戈	戈部
63	4	户	户部
64	4	手	手部
65	4	支	支部
66	4	攴	攴部
67	4	文	文部
68	4	斗	斗部
69	4	斤	斤部
70	4	方	方部
71	4	无	无部
72	4	日	日部
73	4	曰	曰部
74	4	月	月部
75	4	木	木部
76	4	欠	欠部
77	4	止	止部
78	4	歹	歹部
79	4	殳	殳部
80	4	毋	毋部
81	4	比	比部
82	4	毛	毛部
83	4	氏	氏部
84	4	气	气部
85	4	水	水部
86	4	火	火部
87	4	爪	爪部
88	4	父	父部
89	4	爻	爻部
90	4	爿	爿部
91	4	片	片部
92	4	牙	牙部
93	4	牛	牛部
94	4	犬	犬部
95	5	玄	玄部
96	5	玉	玉部
97	5	瓜	瓜部
98	5	瓦	瓦部
99	5	甘	甘部
100	5	生	生部
101	5	用	用部
102	5	田	田部
103	5	疋	疋部
104	5	疒	疒部
105	5	癶	癶部
106	5	白	白部
107	5	皮	皮部
108	5	皿	皿部
109	5	目	目部
110	5	矛	矛部
111	5	矢	矢部
112	5	石	石部
113	5	示	示部
114	5	禸	禸部
115	5	禾	禾部
116	5	穴	穴部
117	5	立	立部
118	6	竹	竹部
119	6	米	米部
120	6	糸	糸部
121	6	缶	缶部
122	6	网	网部
123	6	羊	羊部
124	6	羽	羽部
125	6	老	老部
126	6	而	而部
127	6	耒	耒部
128	6	耳	耳部
129	6	聿	聿部
130	6	肉	肉部
131	6	臣	臣部
132	6	自	自部
133	6	至	至部
134	6	臼	臼部
135	6	舌	舌部
136	6	舛	舛部
137	6	舟	舟部
138	6	艮	艮部
139	6	色	色部
140	6	艸	艸部
141	6	虍	虍部
142	6	虫	虫部
143	6	血	血部
144	6	行	行部
145	6	衣	衣部
146	6	襾	襾部
147	7	見	見部
148	7	角	角部
149	7	言	言部
150	7	谷	谷部
151	7	豆	豆部
152	7	豕	豕部
153	7	豸	豸部
154	7	貝	貝部
155	7	赤	赤部
156	7	走	走部
157	7	足	足部
158	7	身	身部
159	7	車	車部
160	7	辛	辛部
161	7	辰	辰部
162	7	辵	辵部
163	7	邑	邑部
164	7	酉	酉部
165	7	釆	釆部
166	7	里	里部
167	8	金	金部
168	8	長	長部
169	8	門	門部
170	8	阜	阜部
171	8	隶	隶部
172	8	隹	隹部
173	8	雨	雨部
174	8	青	青部
175	8	非	非部
176	9	面	面部
177	9	革	革部
178	9	韋	韋部
179	9	韭	韭部
180	9	音	音部
181	9	頁	頁部
182	9	風	風部
183	9	飛	飛部
184	9	食	食部
185	9	首	首部
186	9	香	香部
187	10	馬	馬部
188	10	骨	骨部
189	10	高	高部
190	10	髟	髟部
191	10	鬥	鬥部
192	10	鬯	鬯部
193	10	鬲	鬲部
194	10	鬼	鬼部
195	11	魚	魚部
196	11	鳥	鳥部
197	11	鹵	鹵部
198	11	鹿	鹿部
199	11	麥	麥部
200	11	麻	麻部
201	12	黄	黄部
202	12	黍	黍部
203	12	黑	黑部
204	12	黹	黹部
205	13	黽	黽部
206	13	鼎	鼎部
207	13	鼓	鼓部
208	13	鼠	鼠部
209	14	鼻	鼻部
210	14	齊	齊部
211	15	齒	齒部
212	16	龍	龍部
213	16	龜	龜部
214	17	龠	龠部
